qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
4,27,02,145.23996,141.29985,149.18005,0.0014523995,0.0029005841,99235.531,287.841,495458.06,5293777.5,53.345657,53.378515
5,27,02,162.03676,157.14052,166.93301,0.0016203676,0.0032354898,99123.805,320.71408,494817.25,5204636,52.506428,52.546001
1,32,02,126.0416,123.12051,128.96269,0.001260416,0.0025176574,99062.047,249.4043,494686.72,4966149,50.131702,49.869066
2,32,02,146.46327,143.28944,149.63712,0.0014646327,0.0029249792,99025.836,289.6485,494405.06,4886412.5,49.344826,49.344826
3,32,02,153.86392,150.72096,157.00688,0.0015386392,0.0030725484,98981.008,304.12393,494144.72,4833882,48.83646,48.83646
4,32,02,173.05092,169.09227,177.00957,0.0017305091,0.0034550359,98947.688,341.86783,493883.78,4798319.5,48.493568,48.526797
5,32,02,197.61925,192.19547,203.04301,0.0019761925,0.0039445846,98810.625,389.76685,493078.72,4709424,47.661194,47.71312
1,37,02,159.5835,156.16,163.00697,0.001595835,0.0031865819,98812.641,314.87457,493276,4471462,45.251923,45.057318
2,37,02,194.43095,190.79901,198.06288,0.0019443096,0.0038810682,98736.188,383.20187,492722.94,4392007.5,44.482246,44.482246
3,37,02,212.86356,209.1769,216.55023,0.0021286355,0.0042482219,98676.883,419.20129,492336.41,4339737,43.979267,43.979267
4,37,02,242.13345,237.69835,246.56856,0.0024213346,0.0048309625,98605.82,476.36102,491838.22,4304435.5,43.65303,43.684756
5,37,02,279.81558,273.80096,285.83017,0.0027981556,0.0055806809,98420.922,549.25574,490731.47,4220769,42.884964,42.892981
1,42,02,267.98398,263.31082,272.65714,0.0026798397,0.0053453422,98497.766,526.50427,491172.56,3978186,40.388592,40.323685
2,42,02,323.64429,318.97348,328.31512,0.003236443,0.0064519821,98352.984,634.57166,490178.5,3899284.5,39.645817,39.645817
3,42,02,369.21246,364.25146,374.17346,0.0036921247,0.007357053,98257.68,722.88696,489481.19,3847400.8,39.156235,39.156235
4,42,02,415.56619,409.4039,421.72849,0.0041556619,0.0082768807,98129.461,812.20581,488616.78,3812597.5,38.852798,38.886596
5,42,02,478.4343,470.65964,486.20892,0.0047843428,0.0095230518,97875.852,932.07684,487049.06,3729418.3,38.103687,38.129951
1,47,02,546.48328,540.06854,552.89801,0.0054648328,0.010870154,97971.258,1064.9628,487193.88,3487013.5,35.592209,35.596944
2,47,02,663.32117,656.58313,670.0592,0.0066332119,0.013178812,97718.414,1287.8126,485372.53,3409106,34.887039,34.887039
3,47,02,748.14911,740.88879,755.40942,0.0074814912,0.014851593,97534.789,1448.547,484052.56,3357919.8,34.427917,34.427917
4,47,02,822.13147,813.83667,830.42621,0.0082213143,0.016308187,97317.258,1587.068,482618.63,3323980.8,34.1562,34.187723
5,47,02,929.76837,919.71442,939.82239,0.0092976838,0.018423541,96943.773,1786.0475,480253.75,3242369.3,33.446003,33.472952
1,52,02,1077.0026,1067.9667,1086.0385,0.010770026,0.02130972,96906.297,2065.0461,479368.88,2999819.5,30.955877,30.975669
2,52,02,1315.2716,1305.3564,1325.1868,0.013152716,0.025962457,96430.602,2503.5754,475894.06,2923733.5,30.319561,30.319561
3,52,02,1433.8359,1423.2932,1444.3785,0.014338359,0.028269444,96086.242,2716.3047,473640.44,2873867,29.909245,29.909245
4,52,02,1534.092,1521.9202,1546.2639,0.015340921,0.03021593,95730.188,2892.5767,471419.5,2841362,29.681015,29.712468
5,52,02,1702.1078,1687.5724,1716.6431,0.017021079,0.033469241,95157.727,3184.8567,467826.47,2762115.3,29.02684,29.059475
1,57,02,1694.7107,1681.2902,1708.1311,0.016947107,0.033326242,94841.25,3160.7024,466304.5,2520450.8,26.575468,26.615745
2,57,02,2032.0034,2017.3759,2046.6311,0.020320034,0.039825335,93927.023,3740.6753,460283.44,2447839.5,26.061079,26.061079
3,57,02,2178.1345,2162.957,2193.312,0.021781346,0.042627469,93369.938,3980.1243,456899.38,2400226.8,25.706633,25.706632
4,57,02,2283.1838,2266.2615,2300.1062,0.022831839,0.044636782,92837.617,4143.9722,453828.13,2369942.5,25.527903,25.560795
5,57,02,2511.302,2491.0559,2531.5483,0.02511302,0.048985567,91972.867,4505.3428,448601,2294288.8,24.945417,24.970717
1,62,02,2350.3218,2332.7385,2367.905,0.023503218,0.045918744,91680.547,4209.8555,447878.09,2054146.3,22.405474,22.455998
2,62,02,2716.6604,2698.1243,2735.1963,0.027166603,0.052883532,90186.352,4769.3726,439008.31,1987556,22.038324,22.038324
3,62,02,2904.8862,2885.9878,2923.7849,0.029048864,0.056442268,89389.813,5045.3638,434335.66,1943327.3,21.739918,21.739918
4,62,02,3001.9565,2981.7568,3022.1565,0.030019566,0.058272321,88693.641,5168.3843,430547.22,1916114.4,21.603821,21.634149
5,62,02,3293.9377,3269.4973,3318.3782,0.032939378,0.063755631,87467.523,5576.5474,423396.25,1845687.9,21.101553,21.133722
1,67,02,3409.4753,3384.7957,3434.155,0.034094755,0.065916561,87470.688,5765.7671,422939.03,1606268.1,18.363501,18.421383
2,67,02,3782.9739,3758.228,3807.7195,0.037829738,0.072868139,85416.977,6224.1763,411524.44,1548547.8,18.129274,18.129274
3,67,02,4039.2012,4013.9807,4064.4214,0.040392011,0.077607118,84344.453,6545.7295,405357.94,1508991.6,17.890821,17.890822
4,67,02,4131.8354,4105.8447,4157.8267,0.041318357,0.07931444,83525.258,6624.7588,401064.38,1485567.1,17.785929,17.818535
5,67,02,4514.7373,4485.2949,4544.1792,0.045147371,0.086338148,81890.977,7070.3154,391779.09,1422291.6,17.368267,17.403462
1,72,02,5895.7495,5857.4785,5934.021,0.058957495,0.1112284,81704.922,9087.9072,385804.84,1183329,14.482959,14.549861
2,72,02,6323.1768,6288.3916,6357.9619,0.063231766,0.11879372,79192.797,9407.6064,372444.97,1137023.3,14.35766,14.35766
3,72,02,6678.0249,6642.7578,6713.2925,0.066780247,0.12502547,77798.727,9726.8223,364676.56,1103633.6,14.185755,14.185755
4,72,02,6776.0322,6740.853,6811.2119,0.067760326,0.12673888,76900.492,9746.2822,360136.78,1084502.9,14.102769,14.137411
5,72,02,7314.5244,7276.4268,7352.6216,0.073145241,0.13609329,74820.664,10182.59,348646.84,1030512.4,13.77327,13.813195
1,77,02,11775.876,11718.177,11833.575,0.11775876,0.20983818,72617.016,15237.823,324990.53,797524.19,10.982608,11.071788
2,77,02,12288.121,12232.789,12343.452,0.12288121,0.21789199,69785.188,15205.634,310911.84,764578.25,10.956168,10.956168
3,77,02,12730.841,12681.345,12780.337,0.12730841,0.22478652,68071.906,15301.646,302105.41,738957.06,10.855537,10.855537
4,77,02,12828.975,12779.606,12878.342,0.12828974,0.2263065,67154.211,15197.436,297777.47,724366,10.786711,10.825046
5,77,02,13591.61,13541.5,13641.72,0.1359161,0.23801789,64638.078,15385.019,284727.81,681865.63,10.549174,10.599379
1,82,02,25278.354,25175.752,25380.955,0.25278354,0.39683655,57379.195,22770.162,229970.58,472533.66,8.2352791,8.315412
2,82,02,25748.961,25656.916,25841.004,0.25748962,0.40248701,54579.555,21967.563,217978.88,453666.44,8.3120213,8.312021
3,82,02,26061.199,25976.885,26145.512,0.26061198,0.40620667,52770.258,21435.631,210262.22,436851.66,8.2783689,8.278369
4,82,02,26097.588,26016.355,26178.822,0.26097587,0.40663868,51956.777,21127.637,206964.81,426588.53,8.2105865,8.256777
5,82,02,27047.139,26967.803,27126.475,0.27047139,0.4178009,49253.059,20577.971,194820.36,397137.78,8.0634699,8.129831
1,85,02,40265.422,40127.16,40403.68,0.4026542,0.55304998,34609.031,19140.523,250387.7,250387.7,7.2347503,7.23475
2,85,02,40438.648,40302.32,40574.977,0.40438649,0.55459577,32611.992,18086.473,235687.56,235687.56,7.2270212,7.227021
3,85,02,40343.129,40216.047,40470.211,0.4034313,0.55374402,31334.627,17351.361,226589.45,226589.45,7.2312799,7.23128
4,85,02,40249.887,40124.398,40375.375,0.40249887,0.55291104,30829.143,17045.773,219623.72,219623.72,7.1241302,7.20848
5,85,02,41153.629,41035.148,41272.113,0.41153631,0.56091952,28675.115,16084.433,203898.03,203898.03,7.1110811,7.176163
1,2,03,142.03287,137.65518,146.41055,0.0014203286,0.0028366265,100000,283.66266,499290.84,7944664,79.44664,79.322131
2,2,03,151.03374,146.60327,155.4642,0.0015103375,0.0030161173,100000,301.61172,499245.97,7864660,78.646599,78.630185
3,2,03,149.591,145.29218,153.88982,0.00149591,0.0029873489,100000,298.73489,499253.16,7818066,78.180656,78.174148
4,2,03,146.4314,141.49712,151.36569,0.0014643139,0.0029243436,100000,292.43436,499268.91,7781466,77.814667,77.862034
5,2,03,173.55933,168.66928,178.44939,0.0017355933,0.0034651691,100000,346.51691,499133.72,7697832,76.978325,76.984293
1,7,03,41.483624,39.251068,43.716183,0.00041483625,0.00082932843,99716.336,82.697594,498374.94,7445373,74.665527,74.602023
2,7,03,49.724827,47.283894,52.16576,0.00049724826,0.00099400221,99700.039,99.102058,498252.44,7364929,73.870895,73.901124
3,7,03,51.437592,48.962521,53.912659,0.00051437592,0.0010282228,99701.266,102.51511,498250.03,7318812.5,73.407425,73.408572
4,7,03,52.884922,50.09808,55.671761,0.0005288492,0.0010571392,99709.234,105.40655,498282.66,7281633,73.02874,73.082393
5,7,03,60.660122,57.87458,63.44566,0.00060660124,0.0012124669,99653.484,120.82654,497965.34,7198698.5,72.237297,72.241481
1,12,03,24.278061,22.492792,26.06333,0.00024278062,0.00048544336,99636.547,48.367901,498061.81,6939064.5,69.644066,69.697006
