qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
1,17,02,22.874365,21.317089,24.431641,0.00022874365,0.00045738267,99651.664,45.578945,498144.38,6972918,69.972923,69.972923
2,17,02,21.17079,19.730286,22.611292,0.0002117079,0.00042332616,99633.852,42.177616,498063.81,6954455.5,69.800125,69.800125
3,17,02,22.742935,21.206467,24.279406,0.00022742935,0.00045475527,99618.117,45.301865,497977.31,6930983,69.575523,69.575523
4,17,02,23.796804,21.887173,25.706434,0.00023796804,0.00047582283,99574.945,47.380032,497756.28,6903965,69.334488,69.394238
5,17,02,27.550608,25.110186,29.99103,0.00027550609,0.00055086036,99560.125,54.843727,497663.5,6814884.5,68.450623,68.749834
1,22,02,36.8951,35.069073,38.721123,0.00036895098,0.00073762977,99606.086,73.47242,497846.75,6474773.5,65.003792,65.003792
2,22,02,36.199512,34.385719,38.013306,0.00036199513,0.00072372827,99591.672,72.077309,497778.16,6456392,64.828636,64.828636
3,22,02,39.037163,37.159737,40.914589,0.00039037163,0.00078043854,99572.813,77.710457,497669.78,6433005.5,64.606041,64.606041
4,22,02,38.067711,36.034752,40.100674,0.00038067711,0.00076106447,99527.57,75.746902,497448.5,6406208,64.366295,64.422189
5,22,02,45.414112,42.653831,48.174393,0.00045414112,0.00090786989,99502.984,90.335762,497289.09,6333157,63.648113,63.788948
1,27,02,56.444759,54.370358,58.519165,0.0005644476,0.0011282583,99532.617,112.2985,497382.34,5976926.5,60.049927,60.049927
2,27,02,58.070206,55.890812,60.249603,0.00058070209,0.0011607299,99519.594,115.51537,497309.19,5958613.5,59.873772,59.873772
3,27,02,62.865215,60.626808,65.103622,0.00062865217,0.0012565142,99495.102,125.01701,497162.97,5935336,59.654556,59.654556
4,27,02,62.414642,59.694187,65.135094,0.00062414643,0.001247514,99451.82,124.06754,496948.94,5908760,59.413418,59.471533
5,27,02,71.617973,67.818382,75.417564,0.00071617973,0.0014313341,99415.641,142.297,496722.47,5823787,58.580864,58.853053
1,32,02,76.548798,74.226349,78.871239,0.00076548796,0.0015298045,99420.32,152.09366,496721.38,5479544.5,55.114937,55.114937
2,32,02,81.700844,79.276413,84.125275,0.00081700843,0.0016326826,99404.078,162.29532,496614.66,5461304.5,54.940449,54.940449
3,32,02,89.281746,86.80864,91.754852,0.00089281745,0.0017840416,99370.086,177.28036,496407.22,5438173,54.72646,54.72646
4,32,02,93.75042,90.502762,96.99807,0.00093750417,0.0018732516,99327.75,186.06587,496173.59,5411811,54.484509,54.544298
5,32,02,103.09187,98.911339,107.27238,0.0010309187,0.0020597132,99270.336,204.46841,495840.5,5337084.5,53.763626,53.93248
1,37,02,98.243721,95.571449,100.916,0.00098243728,0.0019629456,99268.227,194.85812,495854,4982823,50.195549,50.195549
2,37,02,108.40993,105.72067,111.09919,0.0010840994,0.00216585,99241.781,214.94281,495671.53,4964690,50.026207,50.026207
3,37,02,120.3009,117.48778,123.11401,0.0012030089,0.0024031256,99192.805,238.37277,495368.09,4941765.5,49.819798,49.819798
4,37,02,129.84587,126.21076,133.48097,0.0012984587,0.0025935483,99141.688,257.12872,495065.63,4915637.5,49.582073,49.641033
5,37,02,145.12247,140.27527,149.96967,0.0014512247,0.0028982414,99069.086,287.12613,494627.59,4851082.5,48.966774,49.043057
1,42,02,151.03122,147.74425,154.31821,0.0015103122,0.003016067,99073.367,298.81192,494619.81,4486969,45.289356,45.289356
2,42,02,168.81055,165.51767,172.10342,0.0016881054,0.0033705179,99026.836,333.77173,494299.75,4469018,45.129364,45.129364
3,42,02,187.23064,183.71065,190.75063,0.0018723063,0.0037376103,98954.43,369.85309,493847.53,4446397.5,44.933788,44.933788
4,42,02,200.61205,196.13853,205.08556,0.0020061205,0.0040042028,98884.555,395.9538,493432.91,4420572,44.704502,44.764136
5,42,02,229.49629,223.96042,235.03218,0.002294963,0.0045794086,98782.008,452.36316,492779.16,4361612,44.15403,44.178704
1,47,02,322.48172,317.8313,327.13214,0.0032248171,0.0064288802,98774.555,635.00977,492285.25,3992349.3,40.418804,40.418804
2,47,02,352.86572,348.18494,357.54651,0.0035286571,0.0070324698,98693.063,694.05597,491730.19,3974718.5,40.273537,40.273537
3,47,02,378.70404,373.64713,383.76093,0.0037870405,0.0075454698,98584.578,743.86694,491063.22,3952550,40.092983,40.092983
4,47,02,393.76245,387.85098,399.67392,0.0039376244,0.0078443205,98488.602,772.57617,490511.56,3927139,39.874176,39.929994
5,47,02,438.79724,431.04407,446.55042,0.0043879724,0.0087375483,98341.789,859.26617,489560.81,3862979.3,39.281891,39.365919
1,52,02,658.7157,651.93414,665.49731,0.006587157,0.013087912,98139.547,1284.4418,487486.63,3500064,35.664154,35.664154
2,52,02,699.21442,691.97992,706.44897,0.0069921445,0.013886963,97999.008,1360.9086,486592.78,3482988.3,35.541058,35.541058
3,52,02,722.09979,714.55933,729.6402,0.0072209979,0.01433821,97840.711,1402.8607,485696.41,3461487,35.378799,35.378799
